Clean and Jerk, 42200000
Power Clean and Jerk, 16700000
Hang Power Clean and Jerk, 6320000
Hang Clean and Jerk (from floor), 7630000
Hang Power Clean and Jerk (from floor), 7380000
Clean, 7550000000
Power Clean, 2440000000
Deficit Clean, 64200000
Block Clean, 1380000000
Block Power Clean, 464000000
Block Pull, 837000000
Hang Clean, 416000000
Hang Power Clean, 307000000
High Pull, 2340000000
Hang High Pull, 175000000
Below Knee High Pull, 36700000
Jump Shrug, 7840000
Hang Jump Shrug, 3380000
Push Press, 1570000000
Push Press (behind neck), 69800000
Split Jerk, 20300000
Split Jerk (behind neck), 7480000
Romanian Deadlift, 4470000
Barbell Bulgarian Squat, 857000
Front Squat (weightlifting style), 4560000
Dumbbell Hang Clean and Jerk, 828000
Dumbbell Hang Power Clean and Jerk, 472000
Dumbbell Clean, 13700000
Dumbbell Hang Power Clean, 4590000
Kettlebell Clean and Press, 6530000
Kettlebell Clean, 9350000
Snatch, 193000000
Power Snatch, 22200000
Deficit Snatch, 1010000
Block Snatch Pull, 3470000
Block Snatch, 15300000
Block Power Snatch, 6720000
High Block Snatch, 12600000
High Block Power Snatch, 7470000
Hang Snatch, 6690000
Hang Power Snatch, 4920000
Overhead Lunge, 2800000
Overhead Squat, 12600000
Press Under, 6650000000
Quick Drop, 1710000000
Sots Press, 1080000
Dumbbell Power Snatch, 832000
Kettlebell Snatch, 1280000
90° Jump Turns, 336000000
Ankle Hop, 25400000
Box March (high), 2330000000
Box March (low), 1130000000
180° Jump Turns, 82400000
Box Jump March, 279000000
Split Jump, 697000000
Squat Jump, 55700000
360° Jump Turn, 108000000
Barrier Speed Hop, 33300000
Box Jumps, 115000000
Double Leg Butt Kicks, 12300000
Medicine Ball Split Jump, 21800000
Medicine Ball Squat Jump, 11000000
Vertical Jumps, 81600000
360° Jump Turns, 89500000
Box Jump, 1350000000
Box Squat Box Jump, 13500000
Kneeling Squat Jump, 1230000
90° Jump Turns, 336000000
Ankle Hop, 25400000
Box March (high), 1990000000
Box March (low), 1130000000
180° Jump Turns, 82400000
Box Jump March, 279000000
Split Jump, 557000000
Squat Jump, 55700000
360° Jump Turn, 108000000
Barrier Speed Hop, 33300000
Box Jumps, 115000000
Double Leg Butt Kicks, 12300000
Medicine Ball Split Jump, 21800000
Medicine Ball Squat Jump, 11000000
Vertical Jumps, 81600000
360° Jump Turns, 89500000
Box Jump, 1360000000
Box Squat Box Jump, 13900000
Kneeling Squat Jump, 1230000
Hurdle Depth Jump, 1680000
Hurdle Jump, 11900000
Hurdle Jumps, 4280000
Seated Box Jump, 13500000
Single Leg Vertical Hop, 21900000
Single Leg Vertical Jump, 36100000
Stair Jumps, 3590000
Tuck Jump, 20100000
Vertical Power Jump, 208000000
Vertical Jump (no reach), 115000000
Box Depth Jump, 70000000
Multiple Box Depth Jumps, 50200000
Multiple Box Jumps (Progressive), 20200000
Single Leg Box Depth Jump, 19400000
Single Leg Hurdle Depth Jump, 1170000
Single Leg Vertical Depth Jump, 13500000
Single Leg Vertical Depth Power Jump, 21100000
